timeIdx,endDate,hPres,lPres,nProf,psalMean,psalStd,startDate,tempMean,tempStd,depthMin,depthMax
0,2004-01-13,100,90,1,36.36491775512695,,2004-01-01,17.02199935913086,,90,100
1,2004-01-26,100,90,1,36.176448822021484,,2004-01-14,15.89799976348877,,90,100
2,2004-02-08,100,90,2,36.37485313415527,0.013802587125135664,2004-01-27,16.859999656677246,0.1414205470178181,90,100
3,2004-02-21,100,90,1,36.35087966918945,,2004-02-09,16.749000549316406,,90,100
4,2004-03-05,100,90,1,36.236724853515625,,2004-02-22,16.045000076293945,,90,100
5,2004-03-18,100,90,2,36.362749099731445,0.06288444667740624,2004-03-06,16.598000526428223,0.36486762778232623,90,100
6,2004-03-30,100,90,1,36.366180419921875,,2004-03-19,16.618000030517578,,90,100
7,2004-04-11,100,90,3,36.355028788248696,0.1426259108506891,2004-03-31,16.475333213806152,0.7430576623711413,90,100
8,2004-04-23,100,90,3,36.40244801839193,0.12379247840064189,2004-04-12,16.538000106811523,0.651974204354886,90,100
9,2004-05-05,100,90,3,36.42351531982422,0.1272413172126356,2004-04-24,16.670666376749676,0.7306994500058168,90,100
10,2004-05-17,100,90,4,36.33797740936279,0.16048184315407274,2004-05-06,16.284250020980835,0.802121134406222,90,100
11,2004-05-29,100,90,2,36.39850044250488,0.17889954776243358,2004-05-18,16.574000358581543,0.9588374318749584,90,100
12,2004-06-10,100,90,3,36.359728495279946,0.18816944511433498,2004-05-30,16.36133352915446,0.9629467784756466,90,100
13,2004-06-22,100,90,3,36.411346435546875,0.1581691418734926,2004-06-11,16.709333419799805,0.7870963320751676,90,100
14,2004-07-04,100,90,2,36.42049980163574,0.13646947242954635,2004-06-23,16.86850070953369,0.6314461074389429,90,100
15,2004-07-16,100,90,3,36.37751261393229,0.225383203553769,2004-07-05,16.73566659291585,1.1763404933939097,90,100
16,2004-07-28,100,90,3,36.38582865397135,0.15233726959233349,2004-07-17,16.83400026957194,0.769438792768411,90,100
17,2004-08-09,100,90,3,36.3735097249349,0.1753703016410059,2004-07-29,16.718666712443035,0.9190760421619173,90,100
18,2004-08-21,100,90,2,36.41349983215332,0.16051408091761735,2004-08-10,17.009499549865723,1.0047984015886942,90,100
19,2004-09-02,100,90,3,36.36961110432943,0.17006737471357153,2004-08-22,16.657666206359863,0.9719466647101855,90,100
20,2004-09-14,100,90,4,36.310272216796875,0.16694000855268742,2004-09-03,16.514750242233276,0.8806506841861016,90,100
21,2004-09-26,100,90,3,36.31067148844401,0.1425165932140914,2004-09-15,16.653000195821125,1.2775875261994152,90,100
22,2004-10-08,100,90,3,36.33987681070963,0.1569526694472792,2004-09-27,16.82699998219808,1.0584375499094454,90,100
23,2004-10-20,100,90,3,36.36511484781901,0.18482003719010384,2004-10-09,17.089000066121418,1.1715722270587396,90,100
24,2004-11-01,100,90,2,36.36549949645996,0.19869845131891117,2004-10-21,17.549499988555908,2.23799293548144,90,100
25,2004-11-13,100,90,4,36.24917125701904,0.18709261939073346,2004-11-02,16.279500007629395,1.6290353352411404,90,100
26,2004-11-25,100,90,3,36.32688013712565,0.19426431090452292,2004-11-14,16.82966645558675,1.3754575073492425,90,100
27,2004-12-07,100,90,2,36.31850051879883,0.14071247996283506,2004-11-26,17.14400005340576,0.6519517293512511,90,100
28,2004-12-19,100,90,3,36.389068603515625,0.22299608009707056,2004-12-08,17.29699961344401,1.3590702306132239,90,100
29,2004-12-31,100,90,3,36.4103749593099,0.28803265817741974,2004-12-20,16.955000559488933,1.6033627456336088,90,100
30,2005-01-13,100,90,3,36.428338368733726,0.27058393274599,2005-01-01,16.91933314005534,1.367938166671178,90,100
31,2005-01-26,100,90,3,36.41766230265299,0.2536447135826703,2005-01-14,16.582000096638996,1.3978885119492965,90,100
32,2005-02-08,100,90,2,36.38850021362305,0.3118354284128266,2005-01-27,16.23449993133545,1.8745394187603512,90,100
33,2005-02-21,100,90,4,36.29875087738037,0.17405640826639732,2005-02-09,15.602499961853027,1.0024237488272574,90,100
34,2005-03-06,100,90,2,36.41299057006836,0.09476499724062266,2005-02-22,16.185500144958496,0.6215466556607041,90,100
35,2005-03-18,100,90,3,36.30977121988932,0.02738680609084526,2005-03-07,15.630000114440918,0.2075382540453309,90,100
