timeIdx,timeIdx,endDate,hPres,lPres,nProf,psalMean,psalStd,startDate,tempMean,tempStd,depthMin,depthMax,depthIdx
0,0,2004-02-03,10,0,6,36.42504119873047,0.06490666963561746,2004-01-01,17.16349983215332,0.3086681428138222,0,10,0
1,1,2004-03-08,10,0,8,36.41211700439453,0.09780948418509357,2004-02-04,17.15524983406067,0.6174781304084145,0,10,0
2,2,2004-04-11,10,0,6,36.49020004272461,0.06263084498866353,2004-03-09,17.302000045776367,0.2255028185756024,0,10,0
3,3,2004-05-14,10,0,4,36.504134178161614,0.05989666048041688,2004-04-12,17.506999969482422,0.24901587319046714,0,10,0
4,4,2004-06-16,10,0,6,36.45996284484863,0.022130207787515024,2004-05-15,18.605000178019207,1.0290767683244133,0,10,0
5,5,2004-07-19,10,0,6,36.61370023091634,0.08650099202770609,2004-06-17,21.718333562215165,0.3623511200265439,0,10,0
6,6,2004-08-21,10,0,6,36.73066775004069,0.030373958185081356,2004-07-20,23.586833318074547,0.9438670067895026,0,10,0
7,7,2004-09-23,10,0,6,36.51045608520508,0.032910134265252765,2004-08-22,22.687833468119308,0.3412787282447156,0,10,0
8,8,2004-10-26,10,0,4,36.498654365539544,0.03769123112830424,2004-09-24,21.62974977493286,0.4385020233687647,0,10,0
9,9,2004-11-28,10,0,6,36.50337727864584,0.06744972810382435,2004-10-27,19.39716688791911,0.6598071308787351,0,10,0
10,10,2004-12-31,10,0,4,36.317726135253906,0.06033319752404024,2004-11-29,16.936749458312992,0.4067509606868559,0,10,0
11,11,2005-02-03,10,0,8,36.291569709777825,0.032582412812859576,2005-01-01,16.036499857902527,0.25786250557383866,0,10,0
12,12,2005-03-09,10,0,6,36.27802721659342,0.05768003745562681,2005-02-04,15.470666567484535,0.21946911712052775,0,10,0
13,13,2005-04-11,10,0,6,36.28581428527832,0.032022077035458237,2005-03-10,16.279000123341874,0.2396681591510877,0,10,0
14,14,2005-05-14,10,0,6,36.34640757242838,0.12799800315606716,2005-04-12,17.466999689737953,1.1405695906303432,0,10,0
15,15,2005-06-16,10,0,6,36.43645731608073,0.13373139481778432,2005-05-15,18.69083309173584,0.13723630513718146,0,10,0
16,16,2005-07-19,10,0,4,36.38406944274902,0.00324200570432726,2005-06-17,20.58449935913086,0.2340431967317195,0,10,0
17,17,2005-08-21,10,0,6,36.58541933695475,0.005785700633343921,2005-07-20,22.374166170756027,0.10376988876563197,0,10,0
