,aoml,bodc,coriolis,csio,csiro,date,incois,jma,kma,kordi,meds,nProf,nmdis
0,1281,176,439,26,59,2004-01-31,121,544,64,72,229,3011,
1,1223,162,420,27,55,2004-02-29,111,551,59,66,214,2888,
2,1413,173,463,30,59,2004-03-31,110,617,66,69,221,3221,
3,1469,167,442,26,56,2004-04-30,101,579,51,64,210,3165,
4,1672,211,450,27,55,2004-05-31,204,593,61,72,222,3567,
5,1651,213,433,26,54,2004-06-30,234,568,58,64,249,3550,
6,1733,201,472,24,55,2004-07-31,225,638,47,65,251,3711,
7,1808,206,548,24,57,2004-08-31,223,629,54,68,266,3883,
8,1911,205,609,20,54,2004-09-30,205,604,48,85,252,3993,
9,2062,207,639,19,54,2004-10-31,201,635,56,92,255,4220,
10,2030,205,650,30,54,2004-11-30,193,603,62,106,259,4192,
11,2180,246,709,36,56,2004-12-31,211,667,93,110,255,4563,
12,2230,244,753,32,77,2005-01-31,216,721,105,124,253,4755,
13,2068,219,693,26,95,2005-02-28,200,711,93,118,207,4430,
14,2292,242,835,31,133,2005-03-31,207,795,103,119,238,4995,
15,2292,227,826,28,154,2005-04-30,207,784,102,120,209,4949,
16,2581,238,858,27,163,2005-05-31,230,813,74,127,189,5300,
17,2733,228,841,26,165,2005-06-30,255,779,85,115,193,5420,
18,2843,229,925,26,172,2005-07-31,266,827,95,122,195,5700,
19,2863,228,910,21,173,2005-08-31,266,859,92,115,203,5730,
20,2731,232,880,24,166,2005-09-30,320,822,95,110,190,5570,
21,2898,249,949,24,199,2005-10-31,380,891,109,108,201,6008,
22,2968,255,958,21,197,2005-11-30,354,910,132,118,203,6116,
23,3161,264,1047,19,225,2005-12-31,358,938,133,128,209,6482,
24,3243,264,1057,22,267,2006-01-31,353,945,141,125,207,6624,
25,3143,251,919,16,260,2006-02-28,342,939,120,103,171,6264,
26,3530,275,1056,21,274,2006-03-31,344,1072,136,121,212,7041,
27,3409,268,985,21,277,2006-04-30,334,1046,123,123,219,6805,
28,3505,283,1010,24,286,2006-05-31,336,1078,139,137,225,7023,
29,3410,269,1021,31,282,2006-06-30,339,1049,120,131,216,6868,
30,3463,275,1042,37,281,2006-07-31,343,1105,127,138,224,7035,
31,3483,268,1042,38,286,2006-08-31,359,1099,129,127,252,7083,
32,3593,256,1021,36,283,2006-09-30,352,1067,152,141,246,7147,
33,3916,284,1052,36,289,2006-10-31,406,1202,156,173,264,7778,
34,3885,263,1058,33,314,2006-11-30,341,1399,152,158,258,7861,
35,4073,267,1121,36,349,2006-12-31,331,1453,151,165,264,8210,
36,4149,265,1197,36,351,2007-01-31,325,1433,165,172,257,8350,
37,3811,255,1092,36,312,2007-02-28,299,1270,135,151,240,7601,
38,4191,289,1232,36,377,2007-03-31,311,1444,142,157,261,8440,
39,4132,274,1137,34,372,2007-04-30,307,1251,150,157,253,8067,
40,4291,280,1126,31,415,2007-05-31,295,1303,146,162,268,8317,
41,4143,260,1039,29,397,2007-06-30,287,1242,139,146,273,7955,
42,4486,256,1056,30,410,2007-07-31,300,1290,147,163,282,8420,
43,4462,280,1047,30,405,2007-08-31,285,1262,149,153,284,8357,
44,4439,279,1000,30,399,2007-09-30,271,1228,133,170,250,8199,
45,4811,280,1022,30,411,2007-10-31,290,1263,153,168,291,8719,
46,4749,271,943,30,424,2007-11-30,291,1230,123,164,297,8522,
47,4947,293,996,30,446,2007-12-31,322,1217,141,164,309,8865,
48,5036,292,1056,30,448,2008-01-31,318,1166,134,167,290,8937,
49,4856,295,1004,26,434,2008-02-29,302,1120,120,143,260,8560,
50,5226,322,1102,30,464,2008-03-31,314,1234,132,158,293,9275,
51,5166,307,1074,28,467,2008-04-30,297,1197,133,147,274,9090,
52,5370,314,1050,26,489,2008-05-31,307,1222,135,148,287,9348,
53,5290,299,1028,57,480,2008-06-30,288,1309,168,155,289,9363,
54,5314,307,1093,58,503,2008-07-31,280,1345,190,151,295,9536,
55,5244,295,1082,55,517,2008-08-31,302,1317,165,159,287,9423,
56,5172,297,1035,53,502,2008-09-30,274,1261,169,155,291,9209,
57,5493,320,1056,76,530,2008-10-31,260,1345,162,162,304,9708,
58,5476,322,1044,80,892,2008-11-30,229,1322,145,172,268,9950,
59,5698,325,1168,82,1333,2008-12-31,226,1332,164,172,304,10804,
60,5702,350,1165,83,950,2009-01-31,228,1329,147,176,309,10439,
61,5162,314,1089,77,639,2009-02-28,203,1221,145,140,271,9261,
62,5779,340,1219,85,729,2009-03-31,202,1305,152,165,305,10281,
63,5649,364,1171,94,691,2009-04-30,183,1233,139,147,293,9964,
64,5839,381,1197,112,723,2009-05-31,182,1291,123,157,302,10307,
65,5759,354,1111,109,661,2009-06-30,174,1207,148,152,312,9987,
66,6065,365,1115,113,688,2009-07-31,182,1179,143,152,334,10336,
67,5656,360,1105,100,667,2009-08-31,202,1081,134,141,309,9755,
68,5425,341,1045,91,633,2009-09-30,187,1056,130,134,322,9364,
69,5507,347,1071,101,647,2009-10-31,191,1024,119,136,352,9495,
70,5517,325,1043,100,643,2009-11-30,189,976,136,139,335,9403,
71,5528,333,1140,96,720,2009-12-31,203,990,168,143,350,9671,
72,5532,328,1126,99,715,2010-01-31,205,1025,144,135,334,9643,
