,ARGOS,GPS,GTS,IRIDIUM,date,nProf
0,2899,12.0,,,2004-01-31,3011
1,2792,12.0,,,2004-02-29,2888
2,3116,16.0,,,2004-03-31,3221
3,3077,15.0,,,2004-04-30,3165
4,3461,21.0,,,2004-05-31,3567
5,3451,16.0,,,2004-06-30,3550
6,3625,11.0,,,2004-07-31,3711
7,3801,7.0,,,2004-08-31,3883
8,3916,8.0,,,2004-09-30,3993
9,4139,7.0,,,2004-10-31,4220
10,4103,4.0,,,2004-11-30,4192
11,4449,2.0,,,2004-12-31,4563
12,4627,3.0,,,2005-01-31,4755
13,4314,3.0,,,2005-02-28,4430
14,4866,6.0,,,2005-03-31,4995
15,4818,8.0,,,2005-04-30,4949
16,5205,,,,2005-05-31,5300
17,5319,,,,2005-06-30,5420
18,5590,,,,2005-07-31,5700
19,5611,15.0,,,2005-08-31,5730
20,5436,22.0,,,2005-09-30,5570
21,5867,16.0,,,2005-10-31,6008
22,5948,16.0,,,2005-11-30,6116
23,6313,17.0,,,2005-12-31,6482
24,6438,25.0,,,2006-01-31,6624
25,6083,44.0,,,2006-02-28,6264
26,6834,50.0,,,2006-03-31,7041
27,6605,57.0,,,2006-04-30,6805
28,6806,54.0,,,2006-05-31,7023
29,6664,66.0,,,2006-06-30,6868
30,6816,72.0,,,2006-07-31,7035
31,6847,86.0,,,2006-08-31,7083
32,6843,126.0,,,2006-09-30,7147
33,7417,185.0,,,2006-10-31,7778
34,7496,195.0,,,2006-11-30,7861
35,7868,171.0,,,2006-12-31,8210
36,7999,167.0,,,2007-01-31,8350
37,7290,164.0,,,2007-02-28,7601
38,8110,175.0,,,2007-03-31,8440
39,7760,147.0,,,2007-04-30,8067
40,8002,158.0,,,2007-05-31,8317
41,7658,151.0,,,2007-06-30,7955
42,8106,159.0,,,2007-07-31,8420
43,8045,155.0,,,2007-08-31,8357
44,7874,185.0,,1.0,2007-09-30,8199
45,8246,314.0,,1.0,2007-10-31,8719
46,8086,309.0,,1.0,2007-11-30,8522
47,8345,368.0,,5.0,2007-12-31,8865
48,8439,357.0,,5.0,2008-01-31,8937
49,8024,410.0,,3.0,2008-02-29,8560
50,8642,496.0,,2.0,2008-03-31,9275
51,8435,520.0,,1.0,2008-04-30,9090
52,8661,542.0,,3.0,2008-05-31,9348
53,8477,709.0,,6.0,2008-06-30,9363
54,8750,591.0,,2.0,2008-07-31,9536
55,8697,557.0,,4.0,2008-08-31,9423
56,8477,556.0,,4.0,2008-09-30,9209
57,8929,611.0,,5.0,2008-10-31,9708
58,8809,991.0,,3.0,2008-11-30,9950
59,9197,1440.0,,3.0,2008-12-31,10804
60,9282,1008.0,,2.0,2009-01-31,10439
61,8429,683.0,,3.0,2009-02-28,9261
62,9379,748.0,,2.0,2009-03-31,10281
63,9089,732.0,,3.0,2009-04-30,9964
64,9418,760.0,,4.0,2009-05-31,10307
65,8984,851.0,,2.0,2009-06-30,9987
66,9185,1007.0,,1.0,2009-07-31,10336
67,8920,698.0,,3.0,2009-08-31,9755
68,8541,689.0,,4.0,2009-09-30,9364
69,8706,668.0,,2.0,2009-10-31,9495
70,8437,827.0,,3.0,2009-11-30,9403
71,8742,757.0,,4.0,2009-12-31,9671
72,8763,732.0,,4.0,2010-01-31,9643
73,7958,745.0,,5.0,2010-02-28,8851
74,8685,881.0,,9.0,2010-03-31,9746
75,8260,884.0,,8.0,2010-04-30,9296
76,8519,1210.0,,5.0,2010-05-31,9897
77,8249,1144.0,,6.0,2010-06-30,9556
78,8500,1159.0,,3.0,2010-07-31,9842
79,8302,1119.0,,3.0,2010-08-31,9600
80,8012,1125.0,,4.0,2010-09-30,9320
81,8319,1137.0,,3.0,2010-10-31,9631
82,8237,1160.0,,2.0,2010-11-30,9567
83,8725,1245.0,4.0,3.0,2010-12-31,10136
84,8703,1091.0,24.0,15.0,2011-01-31,10005
85,7839,957.0,24.0,20.0,2011-02-28,8986
86,8837,1125.0,18.0,17.0,2011-03-31,10164
87,8775,1290.0,6.0,19.0,2011-04-30,10238
88,8992,1296.0,3.0,18.0,2011-05-31,10472
89,8664,1182.0,2.0,16.0,2011-06-30,10014
90,8940,1331.0,,15.0,2011-07-31,10437
91,8856,1677.0,1.0,18.0,2011-08-31,10756
92,8687,1936.0,,33.0,2011-09-30,10842
93,9188,2114.0,8.0,37.0,2011-10-31,11536
94,9003,1734.0,9.0,29.0,2011-11-30,10957
95,9398,1868.0,17.0,33.0,2011-12-31,11483
96,9400,1869.0,18.0,37.0,2012-01-31,11510
97,8771,1737.0,8.0,35.0,2012-02-29,10712
98,9378,1906.0,3.0,53.0,2012-03-31,11509
99,9037,1838.0,,35.0,2012-04-30,11093
100,9253,1890.0,,44.0,2012-05-31,11364
101,8771,2024.0,12.0,37.0,2012-06-30,11123
102,9144,2170.0,12.0,60.0,2012-07-31,11744
103,9076,2436.0,11.0,38.0,2012-08-31,11942
104,8790,2997.0,13.0,42.0,2012-09-30,12259
105,9103,3144.0,16.0,55.0,2012-10-31,12738
106,8913,3083.0,12.0,46.0,2012-11-30,12480
107,9245,3105.0,80.0,38.0,2012-12-31,12913
108,9068,3624.0,142.0,57.0,2013-01-31,13349
109,8032,3647.0,111.0,68.0,2013-02-28,12231
110,8664,4193.0,107.0,88.0,2013-03-31,13394
111,8285,3624.0,58.0,76.0,2013-04-30,12409
