,,ALAMO,APEX,APEX Profiling Float,APEX-SBE,APEX_D,ARGOS,ARVOR,ARVOR_D,GPS,GTS,HM2000,IRIDIUM,NAVIS,NAVISIR,NAVIS_A,NEMO,NINJA,NINJA_D,NOVA,NOVA-SBE,Nova-SBE,PALACE,POPS_PROVOR,PROVOR,PROVOR-SBE,PROVOR_CTS3-DO-I,PROVOR_II,PROVOR_III,PROVOR_IV,PROVOR_MT,Primary sampling: averaged [],Primary sampling: discrete,S2A,S2X,SOLO,SOLO-W,SOLO_D,SOLO_II,SOLO_W,Usage : ../sh/read_csv_list.sh <,aoml,bodc,coriolis,csio,csiro,date,incois,jma,kma,kordi,meds,nProf,nmdis
0,,,1479,,165.0,,2899,,,12.0,,,,,,,,,,,,,26.0,,173,42.0,,,,,113.0,,,,,296,,,,12.0,,1281,176,439,26,59,2004-01-31,121,544,64,72,229,3011,
1,,,1403,,158.0,,2792,,,12.0,,,,,,,,,,,,,23.0,,196,37.0,,,,,100.0,,,,,300,,,,12.0,,1223,162,420,27,55,2004-02-29,111,551,59,66,214,2888,
2,,,1542,,161.0,,3116,,,16.0,,,,,,,,2.0,,,,,23.0,,228,41.0,,,,,101.0,,,,,400,,,,16.0,,1413,173,463,30,59,2004-03-31,110,617,66,69,221,3221,
3,,,1533,,152.0,,3077,,,15.0,,,,,,,,3.0,,,,,21.0,,228,39.0,,,,,77.0,,,,,407,,,,15.0,,1469,167,442,26,56,2004-04-30,101,579,51,64,210,3165,
4,,,1814,,164.0,,3461,,,21.0,,,,,,,,3.0,,,,,20.0,,229,38.0,,,,,69.0,,,,,463,,,,21.0,,1672,211,450,27,55,2004-05-31,204,593,61,72,222,3567,
5,,,1854,,169.0,,3451,,,16.0,,,,,,,,3.0,,,,,19.0,,234,59.0,,,,,59.0,,,,,435,,,,16.0,,1651,213,433,26,54,2004-06-30,234,568,58,64,249,3550,
6,,,1992,,169.0,,3625,,,11.0,,,,,,,,3.0,,,,,19.0,,256,59.0,,,,,61.0,,,,,443,,,,11.0,,1733,201,472,24,55,2004-07-31,225,638,47,65,251,3711,
7,,,2025,,183.0,,3801,,,7.0,,,,,,,,3.0,,,,,19.0,,315,58.0,,,,,53.0,,,,,491,,,,7.0,,1808,206,548,24,57,2004-08-31,223,629,54,68,266,3883,
8,,,2057,,170.0,,3916,,,8.0,,,,,,,,3.0,,,,,17.0,,338,55.0,,,,,42.0,,,,,521,,,,8.0,,1911,205,609,20,54,2004-09-30,205,604,48,85,252,3993,
9,,,2184,,175.0,,4139,,,7.0,,,,,,,,3.0,,,,,16.0,,347,54.0,,,,,43.0,,,,,559,,,,7.0,,2062,207,639,19,54,2004-10-31,201,635,56,92,255,4220,
10,,,2117,,178.0,,4103,,,4.0,,,,,,,,3.0,,,,,17.0,,362,57.0,,,,,42.0,,,,,577,,,,4.0,,2030,205,650,30,54,2004-11-30,193,603,62,106,259,4192,
11,,,2353,,169.0,,4449,,,2.0,,,,,,,,3.0,,,,,17.0,,380,63.0,,,,,34.0,,,,,609,,,,2.0,,2180,246,709,36,56,2004-12-31,211,667,93,110,255,4563,
12,,,2471,,171.0,,4627,,,3.0,,,,,,,,3.0,,,,,17.0,,406,59.0,,,,,27.0,,,,,616,,,,3.0,,2230,244,753,32,77,2005-01-31,216,721,105,124,253,4755,
13,,,2342,,136.0,,4314,,,3.0,,,,,,,,6.0,,,,,15.0,,367,52.0,,,,,32.0,,,,,539,,,,3.0,,2068,219,693,26,95,2005-02-28,200,711,93,118,207,4430,
14,,,2617,,151.0,,4866,,,6.0,,,,,,,8.0,6.0,,,,,15.0,,399,60.0,,,,,30.0,,,,,590,,,,6.0,,2292,242,835,31,133,2005-03-31,207,795,103,119,238,4995,
15,,,2617,,131.0,,4818,,,8.0,,,,,,,12.0,6.0,,,,,16.0,,401,54.0,,,,,19.0,,,,,611,,,,8.0,,2292,227,826,28,154,2005-04-30,207,784,102,120,209,4949,
16,,,2779,,115.0,,5205,,,,,,,,,,12.0,6.0,,,,,15.0,,454,50.0,,,,,10.0,,,,,730,,,,,,2581,238,858,27,163,2005-05-31,230,813,74,127,189,5300,
17,,,2879,,119.0,,5319,,,,,,,,,,11.0,6.0,,,,,12.0,,462,52.0,,,,,10.0,,,,,778,,,,,,2733,228,841,26,165,2005-06-30,255,779,85,115,193,5420,
18,,,3030,,124.0,,5590,,,,,,,,,,12.0,6.0,,,,,12.0,,515,50.0,,,,,17.0,,,,,796,,,,,,2843,229,925,26,172,2005-07-31,266,827,95,122,195,5700,
19,,,3084,,134.0,,5611,,,15.0,,,,,,,11.0,6.0,,,,,11.0,,498,49.0,,,,,12.0,,,,,793,,,,,,2863,228,910,21,173,2005-08-31,266,859,92,115,203,5730,
20,,,2992,,129.0,,5436,,,22.0,,,,,,,11.0,6.0,,,,,7.0,,489,43.0,,,,,19.0,,,,,774,,,,,,2731,232,880,24,166,2005-09-30,320,822,95,110,190,5570,
21,,,3240,,138.0,,5867,,,16.0,,,,,,,11.0,7.0,,,,,8.0,,496,42.0,,,,,13.0,,,,,855,,,,,,2898,249,949,24,199,2005-10-31,380,891,109,108,201,6008,
22,,,3259,,135.0,,5948,,,16.0,,,,,,,10.0,6.0,,,,,12.0,,542,39.0,,,,,18.0,,,,,886,,,,,,2968,255,958,21,197,2005-11-30,354,910,132,118,203,6116,
23,,,3417,,140.0,,6313,,,17.0,,,,,,,8.0,7.0,,,,,12.0,,588,38.0,,,,,12.0,,,,,947,,,,,,3161,264,1047,19,225,2005-12-31,358,938,133,128,209,6482,
24,,,3513,,141.0,,6438,,,25.0,,,,,,,3.0,6.0,,,,,10.0,,565,35.0,,,,,18.0,,,,,976,,,,,,3243,264,1057,22,267,2006-01-31,353,945,141,125,207,6624,
25,,,3378,,115.0,,6083,,,44.0,,,,,,,3.0,5.0,,,,,9.0,,516,31.0,,,,,12.0,,,,,935,,,,,,3143,251,919,16,260,2006-02-28,342,939,120,103,171,6264,
26,,,3717,,150.0,,6834,,,50.0,,,,,,,4.0,8.0,,,,,10.0,,603,34.0,,,,,17.0,,,,,1046,,,,,,3530,275,1056,21,274,2006-03-31,344,1072,136,121,212,7041,
27,,,3585,,165.0,,6605,,,57.0,,,,,,,8.0,9.0,,,,,10.0,5.0,575,31.0,,,,,9.0,,,,,1002,,,,,,3409,268,985,21,277,2006-04-30,334,1046,123,123,219,6805,
28,,,3701,,172.0,,6806,,,54.0,,,,,,,13.0,10.0,,,,,9.0,10.0,588,29.0,,,,,10.0,,,,,1004,,,,,,3505,283,1010,24,286,2006-05-31,336,1078,139,137,225,7023,
29,,,3644,,168.0,,6664,,,66.0,,,,,,,17.0,8.0,,,,,9.0,9.0,629,21.0,,,,,14.0,,,,,983,,,,,,3410,269,1021,31,282,2006-06-30,339,1049,120,131,216,6868,
30,,,3730,,171.0,,6816,,,72.0,,,,,,,20.0,6.0,,,,,10.0,11.0,632,22.0,,,,,9.0,,,,,994,,,,,,3463,275,1042,37,281,2006-07-31,343,1105,127,138,224,7035,
31,,,3733,,189.0,,6847,,,86.0,,,,,,,19.0,6.0,,,,,10.0,13.0,610,22.0,,,,,15.0,,,,,990,,,,,,3483,268,1042,38,286,2006-08-31,359,1099,129,127,252,7083,
32,,,3771,,185.0,,6843,,,126.0,,,,,,,20.0,6.0,,,,,10.0,10.0,595,22.0,,,,,9.0,,,,,1043,,,,1.0,,3593,256,1021,36,283,2006-09-30,352,1067,152,141,246,7147,
33,,,4165,,195.0,,7417,,,185.0,,,,,,,18.0,6.0,,,,,10.0,11.0,618,22.0,,,,,16.0,,,,,1135,,,,,,3916,284,1052,36,289,2006-10-31,406,1202,156,173,264,7778,
34,,,4270,,187.0,,7496,,,195.0,,,,,,,15.0,6.0,,,,,9.0,9.0,618,21.0,,,,,9.0,,,,,1122,,,,,,3885,263,1058,33,314,2006-11-30,341,1399,152,158,258,7861,
35,,,4423,,186.0,,7868,10.0,,171.0,,,,,,,11.0,6.0,,,,,10.0,9.0,620,22.0,,,,,15.0,,,,,1158,,,,,,4073,267,1121,36,349,2006-12-31,331,1453,151,165,264,8210,
36,,,4407,,182.0,,7999,16.0,,167.0,,,,,,,10.0,6.0,,,,,10.0,2.0,665,21.0,,,,,9.0,,,,,1184,,,,,,4149,265,1197,36,351,2007-01-31,325,1433,165,172,257,8350,
37,,,4025,,167.0,,7290,14.0,,164.0,,,,,,,7.0,6.0,,,,,6.0,,608,20.0,,,,,11.0,,,,,1063,,,,,,3811,255,1092,36,312,2007-02-28,299,1270,135,151,240,7601,
38,,,4503,,183.0,,8110,14.0,,175.0,,,,,,,6.0,9.0,,,,,8.0,,661,22.0,,,,,14.0,,,,,1177,,,,,,4191,289,1232,36,377,2007-03-31,311,1444,142,157,261,8440,
39,,,4276,,180.0,,7760,15.0,,147.0,,,,,,,11.0,9.0,,,,,6.0,,642,21.0,,,,,9.0,,,,,1133,,,,,,4132,274,1137,34,372,2007-04-30,307,1251,150,157,253,8067,
40,,,4400,,194.0,,8002,16.0,,158.0,,,,,,,6.0,9.0,,,,,6.0,,645,21.0,,,,,15.0,,,,,1187,,,,,,4291,280,1126,31,415,2007-05-31,295,1303,146,162,268,8317,
41,,,4227,,198.0,,7658,15.0,,151.0,,,,,,,6.0,9.0,,,,,6.0,,601,21.0,,,,,9.0,,,,,1144,,,,2.0,,4143,260,1039,29,397,2007-06-30,287,1242,139,146,273,7955,
42,,,4436,,201.0,,8106,15.0,,159.0,,,,,,,6.0,10.0,,,,,6.0,,600,23.0,,,,,15.0,,,,,1274,,,,7.0,,4486,256,1056,30,410,2007-07-31,300,1290,147,163,282,8420,
43,,,4371,,202.0,,8045,16.0,,155.0,,,,,,,7.0,7.0,,,,,6.0,,577,21.0,,,,,11.0,,,,,1277,,,,6.0,,4462,280,1047,30,405,2007-08-31,285,1262,149,153,284,8357,
44,,,4351,,175.0,,7874,15.0,,185.0,,,1.0,,,,6.0,6.0,,,,,4.0,,530,21.0,,,,,16.0,,,,,1250,,,,7.0,,4439,279,1000,30,399,2007-09-30,271,1228,133,170,250,8199,
45,,,4642,,210.0,,8246,15.0,,314.0,,,1.0,,,,6.0,7.0,,,,,2.0,,530,23.0,,,,,11.0,,,,,1309,1.0,,,9.0,,4811,280,1022,30,411,2007-10-31,290,1263,153,168,291,8719,
46,,,4523,,222.0,,8086,15.0,,309.0,,,1.0,,,,6.0,6.0,,,,,2.0,,498,21.0,,,,,12.0,,,,,1307,,,,8.0,,4749,271,943,30,424,2007-11-30,291,1230,123,164,297,8522,
47,,,4656,,231.0,,8345,10.0,,368.0,,,5.0,,,,7.0,6.0,,,,,2.0,,491,21.0,,,,,7.0,,,,,1363,,,,6.0,,4947,293,996,30,446,2007-12-31,322,1217,141,164,309,8865,
48,,,4696,,207.0,,8439,,,357.0,,,5.0,,,,6.0,7.0,,,,,2.0,,497,13.0,,,,,7.0,,,,,1357,,,,11.0,,5036,292,1056,30,448,2008-01-31,318,1166,134,167,290,8937,
49,,,4494,,187.0,,8024,,,410.0,,,3.0,,,,6.0,5.0,,,,,2.0,,472,9.0,,7.0,,,11.0,,,,,1298,,,,7.0,,4856,295,1004,26,434,2008-02-29,302,1120,120,143,260,8560,
50,,,4900,,206.0,,8642,,,496.0,,,2.0,,,,4.0,7.0,,,,,2.0,,517,9.0,,13.0,,,6.0,,,,,1380,,,,7.0,,5226,322,1102,30,464,2008-03-31,314,1234,132,158,293,9275,
51,,,4811,,198.0,,8435,,,520.0,,,1.0,,,,6.0,7.0,,,,,2.0,,517,7.0,,13.0,,,12.0,,,,,1367,,,,10.0,,5166,307,1074,28,467,2008-04-30,297,1197,133,147,274,9090,
52,,,4968,,205.0,,8661,,,542.0,,,3.0,,,,6.0,24.0,,,,,,,530,6.0,,38.0,,,6.0,,,,,1399,,,,12.0,,5370,314,1050,26,489,2008-05-31,307,1222,135,148,287,9348,
53,,,5082,,202.0,,8477,,,709.0,,,6.0,,,,4.0,22.0,,,,,,,561,5.0,,34.0,,,12.0,,,,,1320,,,,8.0,,5290,299,1028,57,480,2008-06-30,288,1309,168,155,289,9363,
54,,,5119,,209.0,,8750,,,591.0,,,2.0,,,,3.0,22.0,,,,,,,584,3.0,,62.0,,,6.0,,,,,1344,,,,6.0,,5314,307,1093,58,503,2008-07-31,280,1345,190,151,295,9536,
55,,,5094,,198.0,,8697,,,557.0,,,4.0,,,,3.0,21.0,,,,,,,552,3.0,,68.0,,,12.0,,,,,1304,,,,5.0,,5244,295,1082,55,517,2008-08-31,302,1317,165,159,287,9423,
56,,,4932,,230.0,,8477,,,556.0,,,4.0,,,,3.0,17.0,,,,,,1.0,509,3.0,,54.0,,,6.0,,,,,1325,,,,7.0,,5172,297,1035,53,502,2008-09-30,274,1261,169,155,291,9209,
57,,,5161,,250.0,,8929,,,611.0,,,5.0,,,,3.0,17.0,,,,,,51.0,525,3.0,,59.0,,,12.0,,,,,1419,,,,16.0,,5493,320,1056,76,530,2008-10-31,260,1345,162,162,304,9708,
58,,,5490,,218.0,,8809,,,991.0,,,3.0,,,,1.0,18.0,,,,,,58.0,500,3.0,,54.0,,,7.0,,,,,1373,,,,28.0,,5476,322,1044,80,892,2008-11-30,229,1322,145,172,268,9950,
59,,,6091,,254.0,,9197,,,1440.0,,,3.0,,,,1.0,18.0,,,,,,45.0,512,3.0,,83.0,,,7.0,,,,,1435,,,,31.0,,5698,325,1168,82,1333,2008-12-31,226,1332,164,172,304,10804,
60,,,5741,,261.0,,9282,,,1008.0,,,2.0,,,,2.0,14.0,,,,,,46.0,495,1.0,,66.0,,,11.0,,,,,1397,,,,15.0,,5702,350,1165,83,950,2009-01-31,228,1329,147,176,309,10439,
61,,,5007,,228.0,,8429,6.0,,683.0,,,3.0,,,,,15.0,,,,,,27.0,452,,,62.0,,,6.0,,,,,1264,,,,7.0,,5162,314,1089,77,639,2009-02-28,203,1221,145,140,271,9261,
