,,ALAMO,APEX,APEX Profiling Float,APEX-SBE,APEX_D,ARVOR,ARVOR_D,HM2000,NAVIS,NAVISIR,NAVIS_A,NEMO,NINJA,NINJA_D,NOVA,NOVA-SBE,Nova-SBE,PALACE,POPS_PROVOR,PROVOR,PROVOR-SBE,PROVOR_CTS3-DO-I,PROVOR_II,PROVOR_III,PROVOR_IV,PROVOR_MT,Primary sampling: averaged [],Primary sampling: discrete,S2A,S2X,SOLO,SOLO-W,SOLO_D,SOLO_II,SOLO_W,Usage : ../sh/read_csv_list.sh <,date,nProf
0,,,1479,,165.0,,,,,,,,,,,,,,26.0,,173,42.0,,,,,113.0,,,,,296,,,,12.0,,2004-01-31,3011
1,,,1403,,158.0,,,,,,,,,,,,,,23.0,,196,37.0,,,,,100.0,,,,,300,,,,12.0,,2004-02-29,2888
2,,,1542,,161.0,,,,,,,,,2.0,,,,,23.0,,228,41.0,,,,,101.0,,,,,400,,,,16.0,,2004-03-31,3221
3,,,1533,,152.0,,,,,,,,,3.0,,,,,21.0,,228,39.0,,,,,77.0,,,,,407,,,,15.0,,2004-04-30,3165
4,,,1814,,164.0,,,,,,,,,3.0,,,,,20.0,,229,38.0,,,,,69.0,,,,,463,,,,21.0,,2004-05-31,3567
5,,,1854,,169.0,,,,,,,,,3.0,,,,,19.0,,234,59.0,,,,,59.0,,,,,435,,,,16.0,,2004-06-30,3550
6,,,1992,,169.0,,,,,,,,,3.0,,,,,19.0,,256,59.0,,,,,61.0,,,,,443,,,,11.0,,2004-07-31,3711
7,,,2025,,183.0,,,,,,,,,3.0,,,,,19.0,,315,58.0,,,,,53.0,,,,,491,,,,7.0,,2004-08-31,3883
8,,,2057,,170.0,,,,,,,,,3.0,,,,,17.0,,338,55.0,,,,,42.0,,,,,521,,,,8.0,,2004-09-30,3993
9,,,2184,,175.0,,,,,,,,,3.0,,,,,16.0,,347,54.0,,,,,43.0,,,,,559,,,,7.0,,2004-10-31,4220
10,,,2117,,178.0,,,,,,,,,3.0,,,,,17.0,,362,57.0,,,,,42.0,,,,,577,,,,4.0,,2004-11-30,4192
11,,,2353,,169.0,,,,,,,,,3.0,,,,,17.0,,380,63.0,,,,,34.0,,,,,609,,,,2.0,,2004-12-31,4563
12,,,2471,,171.0,,,,,,,,,3.0,,,,,17.0,,406,59.0,,,,,27.0,,,,,616,,,,3.0,,2005-01-31,4755
13,,,2342,,136.0,,,,,,,,,6.0,,,,,15.0,,367,52.0,,,,,32.0,,,,,539,,,,3.0,,2005-02-28,4430
14,,,2617,,151.0,,,,,,,,8.0,6.0,,,,,15.0,,399,60.0,,,,,30.0,,,,,590,,,,6.0,,2005-03-31,4995
15,,,2617,,131.0,,,,,,,,12.0,6.0,,,,,16.0,,401,54.0,,,,,19.0,,,,,611,,,,8.0,,2005-04-30,4949
16,,,2779,,115.0,,,,,,,,12.0,6.0,,,,,15.0,,454,50.0,,,,,10.0,,,,,730,,,,,,2005-05-31,5300
17,,,2879,,119.0,,,,,,,,11.0,6.0,,,,,12.0,,462,52.0,,,,,10.0,,,,,778,,,,,,2005-06-30,5420
18,,,3030,,124.0,,,,,,,,12.0,6.0,,,,,12.0,,515,50.0,,,,,17.0,,,,,796,,,,,,2005-07-31,5700
19,,,3084,,134.0,,,,,,,,11.0,6.0,,,,,11.0,,498,49.0,,,,,12.0,,,,,793,,,,,,2005-08-31,5730
20,,,2992,,129.0,,,,,,,,11.0,6.0,,,,,7.0,,489,43.0,,,,,19.0,,,,,774,,,,,,2005-09-30,5570
21,,,3240,,138.0,,,,,,,,11.0,7.0,,,,,8.0,,496,42.0,,,,,13.0,,,,,855,,,,,,2005-10-31,6008
22,,,3259,,135.0,,,,,,,,10.0,6.0,,,,,12.0,,542,39.0,,,,,18.0,,,,,886,,,,,,2005-11-30,6116
23,,,3417,,140.0,,,,,,,,8.0,7.0,,,,,12.0,,588,38.0,,,,,12.0,,,,,947,,,,,,2005-12-31,6482
24,,,3513,,141.0,,,,,,,,3.0,6.0,,,,,10.0,,565,35.0,,,,,18.0,,,,,976,,,,,,2006-01-31,6624
25,,,3378,,115.0,,,,,,,,3.0,5.0,,,,,9.0,,516,31.0,,,,,12.0,,,,,935,,,,,,2006-02-28,6264
26,,,3717,,150.0,,,,,,,,4.0,8.0,,,,,10.0,,603,34.0,,,,,17.0,,,,,1046,,,,,,2006-03-31,7041
27,,,3585,,165.0,,,,,,,,8.0,9.0,,,,,10.0,5.0,575,31.0,,,,,9.0,,,,,1002,,,,,,2006-04-30,6805
28,,,3701,,172.0,,,,,,,,13.0,10.0,,,,,9.0,10.0,588,29.0,,,,,10.0,,,,,1004,,,,,,2006-05-31,7023
29,,,3644,,168.0,,,,,,,,17.0,8.0,,,,,9.0,9.0,629,21.0,,,,,14.0,,,,,983,,,,,,2006-06-30,6868
30,,,3730,,171.0,,,,,,,,20.0,6.0,,,,,10.0,11.0,632,22.0,,,,,9.0,,,,,994,,,,,,2006-07-31,7035
31,,,3733,,189.0,,,,,,,,19.0,6.0,,,,,10.0,13.0,610,22.0,,,,,15.0,,,,,990,,,,,,2006-08-31,7083
32,,,3771,,185.0,,,,,,,,20.0,6.0,,,,,10.0,10.0,595,22.0,,,,,9.0,,,,,1043,,,,1.0,,2006-09-30,7147
33,,,4165,,195.0,,,,,,,,18.0,6.0,,,,,10.0,11.0,618,22.0,,,,,16.0,,,,,1135,,,,,,2006-10-31,7778
34,,,4270,,187.0,,,,,,,,15.0,6.0,,,,,9.0,9.0,618,21.0,,,,,9.0,,,,,1122,,,,,,2006-11-30,7861
35,,,4423,,186.0,,10.0,,,,,,11.0,6.0,,,,,10.0,9.0,620,22.0,,,,,15.0,,,,,1158,,,,,,2006-12-31,8210
36,,,4407,,182.0,,16.0,,,,,,10.0,6.0,,,,,10.0,2.0,665,21.0,,,,,9.0,,,,,1184,,,,,,2007-01-31,8350
37,,,4025,,167.0,,14.0,,,,,,7.0,6.0,,,,,6.0,,608,20.0,,,,,11.0,,,,,1063,,,,,,2007-02-28,7601
38,,,4503,,183.0,,14.0,,,,,,6.0,9.0,,,,,8.0,,661,22.0,,,,,14.0,,,,,1177,,,,,,2007-03-31,8440
39,,,4276,,180.0,,15.0,,,,,,11.0,9.0,,,,,6.0,,642,21.0,,,,,9.0,,,,,1133,,,,,,2007-04-30,8067
40,,,4400,,194.0,,16.0,,,,,,6.0,9.0,,,,,6.0,,645,21.0,,,,,15.0,,,,,1187,,,,,,2007-05-31,8317
41,,,4227,,198.0,,15.0,,,,,,6.0,9.0,,,,,6.0,,601,21.0,,,,,9.0,,,,,1144,,,,2.0,,2007-06-30,7955
42,,,4436,,201.0,,15.0,,,,,,6.0,10.0,,,,,6.0,,600,23.0,,,,,15.0,,,,,1274,,,,7.0,,2007-07-31,8420
43,,,4371,,202.0,,16.0,,,,,,7.0,7.0,,,,,6.0,,577,21.0,,,,,11.0,,,,,1277,,,,6.0,,2007-08-31,8357
44,,,4351,,175.0,,15.0,,,,,,6.0,6.0,,,,,4.0,,530,21.0,,,,,16.0,,,,,1250,,,,7.0,,2007-09-30,8199
45,,,4642,,210.0,,15.0,,,,,,6.0,7.0,,,,,2.0,,530,23.0,,,,,11.0,,,,,1309,1.0,,,9.0,,2007-10-31,8719
46,,,4523,,222.0,,15.0,,,,,,6.0,6.0,,,,,2.0,,498,21.0,,,,,12.0,,,,,1307,,,,8.0,,2007-11-30,8522
47,,,4656,,231.0,,10.0,,,,,,7.0,6.0,,,,,2.0,,491,21.0,,,,,7.0,,,,,1363,,,,6.0,,2007-12-31,8865
48,,,4696,,207.0,,,,,,,,6.0,7.0,,,,,2.0,,497,13.0,,,,,7.0,,,,,1357,,,,11.0,,2008-01-31,8937
49,,,4494,,187.0,,,,,,,,6.0,5.0,,,,,2.0,,472,9.0,,7.0,,,11.0,,,,,1298,,,,7.0,,2008-02-29,8560
50,,,4900,,206.0,,,,,,,,4.0,7.0,,,,,2.0,,517,9.0,,13.0,,,6.0,,,,,1380,,,,7.0,,2008-03-31,9275
51,,,4811,,198.0,,,,,,,,6.0,7.0,,,,,2.0,,517,7.0,,13.0,,,12.0,,,,,1367,,,,10.0,,2008-04-30,9090
52,,,4968,,205.0,,,,,,,,6.0,24.0,,,,,,,530,6.0,,38.0,,,6.0,,,,,1399,,,,12.0,,2008-05-31,9348
53,,,5082,,202.0,,,,,,,,4.0,22.0,,,,,,,561,5.0,,34.0,,,12.0,,,,,1320,,,,8.0,,2008-06-30,9363
54,,,5119,,209.0,,,,,,,,3.0,22.0,,,,,,,584,3.0,,62.0,,,6.0,,,,,1344,,,,6.0,,2008-07-31,9536
55,,,5094,,198.0,,,,,,,,3.0,21.0,,,,,,,552,3.0,,68.0,,,12.0,,,,,1304,,,,5.0,,2008-08-31,9423
56,,,4932,,230.0,,,,,,,,3.0,17.0,,,,,,1.0,509,3.0,,54.0,,,6.0,,,,,1325,,,,7.0,,2008-09-30,9209
57,,,5161,,250.0,,,,,,,,3.0,17.0,,,,,,51.0,525,3.0,,59.0,,,12.0,,,,,1419,,,,16.0,,2008-10-31,9708
58,,,5490,,218.0,,,,,,,,1.0,18.0,,,,,,58.0,500,3.0,,54.0,,,7.0,,,,,1373,,,,28.0,,2008-11-30,9950
59,,,6091,,254.0,,,,,,,,1.0,18.0,,,,,,45.0,512,3.0,,83.0,,,7.0,,,,,1435,,,,31.0,,2008-12-31,10804
60,,,5741,,261.0,,,,,,,,2.0,14.0,,,,,,46.0,495,1.0,,66.0,,,11.0,,,,,1397,,,,15.0,,2009-01-31,10439
61,,,5007,,228.0,,6.0,,,,,,,15.0,,,,,,27.0,452,,,62.0,,,6.0,,,,,1264,,,,7.0,,2009-02-28,9261
62,,,5549,,257.0,,28.0,,,,,,,16.0,,,,,,14.0,509,1.0,,64.0,,,12.0,,,,,1440,,,,6.0,,2009-03-31,10281
63,,,5375,,247.0,,30.0,,,,,,,16.0,,,,,,26.0,474,,,60.0,,,6.0,,,,,1387,,,,5.0,,2009-04-30,9964
64,,,5601,,250.0,,34.0,,,,,,4.0,18.0,,,,,,30.0,473,,,77.0,,,12.0,,,,,1396,,,,8.0,,2009-05-31,10307
65,,,5475,,258.0,,33.0,,,,,,2.0,18.0,,,,,,30.0,469,,,59.0,,,6.0,,,,,1314,,,,27.0,,2009-06-30,9987
66,,,5666,,275.0,,34.0,,,,,,,17.0,,,,,,31.0,465,,,57.0,,,12.0,,,,,1344,,,,31.0,,2009-07-31,10336
67,,,5191,,253.0,,34.0,,,,,,,12.0,,,,,,29.0,463,,,56.0,,,6.0,,,,,1306,,,,28.0,,2009-08-31,9755
68,,,5002,,271.0,,33.0,,,,,,3.0,12.0,,,,,,30.0,432,,,56.0,,,8.0,,,,,1252,,,,27.0,,2009-09-30,9364
69,,,5068,,293.0,,34.0,,,,,,2.0,12.0,,,,,,11.0,434,,,57.0,,,10.0,,,,,1251,,,,27.0,,2009-10-31,9495
70,,,5179,,279.0,,33.0,,,,,,2.0,12.0,,,,,,,405,,,50.0,,,7.0,,,,,1188,,,,27.0,,2009-11-30,9403
71,,,5207,,289.0,,62.0,,,,,,2.0,12.0,,,,,,,455,,,49.0,,,10.0,,,,,1239,,,,31.0,,2009-12-31,9671
72,,,5190,,275.0,,65.0,,,,,,,13.0,,,,,,,452,,,46.0,,,5.0,,,,,1292,,,,32.0,,2010-01-31,9643
73,,,4746,,250.0,,61.0,,,,,,,8.0,,,,,,,408,,,40.0,,,10.0,,,,,1191,,,23.0,23.0,,2010-02-28,8851
74,,,5240,,274.0,,74.0,,,,,,,1.0,,,,,,,447,,,41.0,,,5.0,,,,,1311,1.0,,32.0,24.0,,2010-03-31,9746
75,,,4999,,263.0,,69.0,,,,,,,,,,,,,14.0,442,,,28.0,,,10.0,,,,,1219,3.0,,32.0,18.0,,2010-04-30,9296
76,,,5311,,276.0,,71.0,,,,,,144.0,,,,,,,30.0,493,,,22.0,,,5.0,,,,,1200,3.0,,47.0,19.0,,2010-05-31,9897
77,,,5088,,270.0,,68.0,,,,,,181.0,,,,,,,28.0,513,,,18.0,,,6.0,,,,,1114,3.0,,50.0,11.0,,2010-06-30,9556
78,,,5297,,280.0,,75.0,,,,,,157.0,,,,,,,31.0,542,,,21.0,,,9.0,,,,,1105,3.0,,53.0,9.0,,2010-07-31,9842
79,,,5211,,289.0,,27.0,,,,,,156.0,,,,,,,23.0,529,,,18.0,,,6.0,,,,,1082,3.0,,52.0,7.0,,2010-08-31,9600
80,,,5065,,275.0,,35.0,,,,,,159.0,,,,,,,,499,,,18.0,,,9.0,,,,,1027,,,39.0,6.0,,2010-09-30,9320
81,,,5220,,279.0,,43.0,,,,,,171.0,,,,,,,,549,,,18.0,,,5.0,,,,,1030,,,14.0,6.0,,2010-10-31,9631
82,,,5144,,267.0,,39.0,,,,,,155.0,,,,,,,,543,,,18.0,,,10.0,,,,,1036,,,52.0,6.0,,2010-11-30,9567
83,,,5419,,279.0,,81.0,,,,,,156.0,,,,,,,,574,,,18.0,,,5.0,,,,,1131,,,60.0,15.0,,2010-12-31,10136
84,,,5464,,270.0,,116.0,,,,,,80.0,,,,,,,,552,,,9.0,,,10.0,,,,,1121,,,2.0,15.0,,2011-01-31,10005
85,,,4982,,221.0,,118.0,,,,,,19.0,,,,,,,,494,,,6.0,,,5.0,,,,,1003,,,,14.0,,2011-02-28,8986
86,,,5669,,222.0,,132.0,,,,,,20.0,,,,,,,,558,,,1.0,,,5.0,,,,,1133,,,25.0,15.0,,2011-03-31,10164
87,,,5513,,194.0,,132.0,,,,,,24.0,,,,,,,5.0,756,,,,,,8.0,,,,,1078,,,186.0,23.0,,2011-04-30,10238
88,,,5613,,205.0,,146.0,,,,,,50.0,,,,,,,10.0,838,,,,,,4.0,,,,,1100,,,89.0,141.0,,2011-05-31,10472
89,,,5356,,190.0,,163.0,,,,,,35.0,,,,,,,12.0,860,,,4.0,,,8.0,,,,,1068,3.0,,52.0,395.0,,2011-06-30,10014
90,,,5498,,194.0,,187.0,,,,,,90.0,,,,,,,12.0,932,,,21.0,,,4.0,,,,,1092,3.0,,52.0,506.0,,2011-07-31,10437
91,,,5526,,207.0,,176.0,,,,,,317.0,,,,,,,4.0,953,,,35.0,,,8.0,,,,,1072,3.0,,116.0,509.0,,2011-08-31,10756
92,4.0,,5665,,198.0,,200.0,,,,,,279.0,,,,,,,,899,,,31.0,,,4.0,,,73.0,,1044,3.0,,186.0,496.0,,2011-09-30,10842
93,3.0,,6102,,206.0,,227.0,,,,,,281.0,,,,,,,,924,,,10.0,,,8.0,,,71.0,,1105,4.0,,221.0,574.0,,2011-10-31,11536
94,3.0,,5743,,195.0,,248.0,,,,,,248.0,,,,,,,,875,,,28.0,,,3.0,,,51.0,,1091,3.0,,189.0,579.0,,2011-11-30,10957
95,3.0,,6006,,201.0,,271.0,,,,,,336.0,,,,,,,,900,,,12.0,,,6.0,,,54.0,,1128,3.0,,197.0,591.0,,2011-12-31,11483
96,3.0,,6059,,192.0,,281.0,,,,,2.0,337.0,,,,,,,,877,,,13.0,,,3.0,,,53.0,,1113,3.0,,196.0,606.0,,2012-01-31,11510
97,3.0,,5712,,174.0,,265.0,,,,1.0,6.0,220.0,,,1.0,,,,,815,,,26.0,,,3.0,,,55.0,,1062,3.0,,190.0,568.0,,2012-02-29,10712
98,3.0,,6178,,193.0,,329.0,,,,6.0,11.0,171.0,,,3.0,,,,,782,,,32.0,,,6.0,,,61.0,,1150,3.0,,295.0,627.0,,2012-03-31,11509
99,3.0,,6044,,181.0,,327.0,,,,5.0,17.0,153.0,,,2.0,1.0,,,,743,,,35.0,,,2.0,,,55.0,,1088,3.0,,232.0,612.0,,2012-04-30,11093
100,3.0,,6267,,175.0,,358.0,,,,2.0,26.0,113.0,,,2.0,1.0,,,,750,,,38.0,,,4.0,,,64.0,,1127,3.0,,238.0,618.0,,2012-05-31,11364
101,3.0,,6240,,156.0,,369.0,,,,6.0,41.0,45.0,,,14.0,9.0,,,,712,,,36.0,,,2.0,,,108.0,,1064,3.0,,300.0,553.0,,2012-06-30,11123
102,3.0,,6689,,158.0,,469.0,,,,19.0,56.0,47.0,,,21.0,33.0,,,,779,,,35.0,,,4.0,,,80.0,,1094,3.0,,285.0,544.0,,2012-07-31,11744
103,3.0,,6976,,147.0,,505.0,5.0,,,39.0,64.0,45.0,,3.0,20.0,39.0,,,,753,,,21.0,,,1.0,,,80.0,,1063,3.0,,267.0,543.0,,2012-08-31,11942
104,3.0,,7472,,129.0,,523.0,11.0,,,22.0,59.0,44.0,,12.0,22.0,36.0,,,,726,,,21.0,,,,,,78.0,,1002,3.0,,251.0,516.0,,2012-09-30,12259
105,3.0,,7784,,118.0,,551.0,17.0,,,18.0,83.0,42.0,,7.0,26.0,38.0,,,,742,,,19.0,45.0,,,11.0,,141.0,,1036,3.0,,280.0,530.0,,2012-10-31,12738
106,3.0,,7525,,104.0,,592.0,15.0,,,18.0,120.0,42.0,,,29.0,34.0,,,,718,,,21.0,98.0,,,13.0,,213.0,,993,3.0,,305.0,488.0,,2012-11-30,12480
107,3.0,,7705,,109.0,,665.0,16.0,,,16.0,138.0,128.0,,12.0,27.0,34.0,,,,722,,,21.0,103.0,,,24.0,,207.0,,998,3.0,,349.0,490.0,,2012-12-31,12913
108,3.0,,7949,,101.0,,713.0,7.0,,,15.0,152.0,165.0,,12.0,31.0,28.0,,,,740,,,15.0,120.0,,,42.0,,276.0,,1011,4.0,13.0,321.0,489.0,,2013-01-31,13349
109,3.0,,7321,,93.0,,629.0,,,,11.0,155.0,141.0,,10.0,31.0,31.0,,,,726,,,14.0,106.0,,,38.0,,249.0,,968,3.0,13.0,299.0,445.0,,2013-02-28,12231
110,3.0,,8140,,93.0,,674.0,,,,3.0,175.0,172.0,,6.0,34.0,31.0,,,,783,,,16.0,130.0,,,37.0,,287.0,,994,3.0,10.0,411.0,481.0,,2013-03-31,13394
111,3.0,,7253,2.0,79.0,,665.0,,,,9.0,194.0,206.0,,6.0,32.0,32.0,,,,726,,,12.0,236.0,,,30.0,,357.0,,975,3.0,11.0,384.0,448.0,,2013-04-30,12409
112,3.0,,7297,1.0,73.0,,730.0,,,,9.0,208.0,96.0,,6.0,46.0,40.0,,,,635,,,,460.0,,,32.0,,402.0,,1014,3.0,10.0,418.0,440.0,,2013-05-31,12817
113,3.0,,7058,,65.0,,736.0,,,,10.0,229.0,130.0,,2.0,52.0,52.0,,,,614,,,,490.0,,,31.0,,363.0,,945,3.0,15.0,373.0,466.0,,2013-06-30,12339
114,4.0,,7240,,65.0,,737.0,,,,9.0,250.0,148.0,,5.0,69.0,66.0,1.0,,,622,,,11.0,338.0,,,30.0,1.0,354.0,,967,3.0,27.0,419.0,468.0,,2013-07-31,12542
115,3.0,,7410,,56.0,,783.0,,,,10.0,278.0,112.0,,4.0,70.0,64.0,,,,622,,,,293.0,,,26.0,4.0,364.0,,954,7.0,10.0,646.0,461.0,,2013-08-31,12919
116,3.0,,8115,,46.0,,806.0,,,,10.0,281.0,135.0,,2.0,69.0,57.0,,,,600,,,,261.0,,,21.0,,481.0,,886,6.0,15.0,508.0,449.0,,2013-09-30,13345
117,3.0,,8190,,45.0,,836.0,,,,11.0,307.0,174.0,,2.0,72.0,67.0,,,,611,,,,511.0,,,20.0,,526.0,,899,6.0,,540.0,440.0,,2013-10-31,13738
118,3.0,,7108,,39.0,,821.0,8.0,,,12.0,294.0,122.0,,4.0,66.0,61.0,,,,571,,,,398.0,,,21.0,,471.0,,842,7.0,,659.0,418.0,,2013-11-30,12324
119,3.0,,7239,,36.0,,869.0,15.0,,,7.0,308.0,153.0,,3.0,81.0,58.0,,,,595,,,,349.0,,,17.0,,577.0,,846,6.0,,694.0,427.0,,2013-12-31,12751
120,3.0,,7147,,38.0,,856.0,15.0,,,10.0,322.0,369.0,,9.0,82.0,56.0,,,,587,,,,366.0,,,10.0,,570.0,,825,6.0,,643.0,425.0,,2014-01-31,12829
121,3.0,,6540,,26.0,,805.0,14.0,,,8.0,262.0,293.0,,12.0,67.0,55.0,,,,569,,,,353.0,,,10.0,,530.0,,718,6.0,,721.0,391.0,,2014-02-28,11832
122,3.0,,7183,,27.0,,928.0,8.0,,,9.0,326.0,201.0,,17.0,85.0,63.0,,,,718,,,,427.0,,,10.0,,619.0,,772,6.0,,901.0,434.0,,2014-03-31,13229
123,3.0,,6962,,25.0,,912.0,3.0,,,15.0,414.0,104.0,,8.0,83.0,72.0,,,,1085,,,,370.0,,,10.0,,516.0,,745,6.0,,768.0,402.0,,2014-04-30,12980
124,3.0,,7707,,31.0,,972.0,12.0,,,17.0,467.0,104.0,,10.0,87.0,79.0,,,,1124,,,,319.0,,,11.0,,585.0,,746,6.0,,768.0,396.0,,2014-05-31,13939
125,3.0,,7171,,29.0,,998.0,28.0,,,11.0,462.0,73.0,,5.0,75.0,76.0,,,,1096,,,,322.0,,,10.0,,540.0,,707,8.0,20.0,784.0,388.0,,2014-06-30,13261
126,3.0,,6981,,28.0,,1036.0,28.0,,,11.0,528.0,53.0,,5.0,76.0,68.0,,,,1140,,,,381.0,,,10.0,,671.0,,710,299.0,23.0,798.0,154.0,,2014-07-31,13399
127,3.0,,7055,,27.0,,1025.0,26.0,,,12.0,575.0,27.0,,3.0,83.0,67.0,,,,1164,,,,327.0,,7.0,2.0,,613.0,,697,470.0,18.0,800.0,7.0,,2014-08-31,13414
128,3.0,,6746,,26.0,,1014.0,18.0,,,17.0,594.0,31.0,,4.0,90.0,70.0,,,,1137,,,,309.0,,9.0,,,631.0,,664,458.0,17.0,737.0,6.0,,2014-09-30,12975
129,3.0,,6631,,21.0,,1036.0,18.0,,,23.0,633.0,39.0,,3.0,126.0,72.0,,,,1105,,,,415.0,,9.0,,,633.0,,657,484.0,21.0,834.0,6.0,,2014-10-31,13146
130,3.0,,6461,,20.0,,1057.0,19.0,,,23.0,652.0,54.0,,2.0,118.0,66.0,,,,883,,,,383.0,,10.0,,,663.0,,614,445.0,14.0,927.0,5.0,,2014-11-30,12780
131,3.0,,6882,,19.0,,1187.0,15.0,,,24.0,689.0,173.0,,4.0,116.0,74.0,,,,901,,,,395.0,,8.0,,,666.0,,605,461.0,10.0,930.0,6.0,,2014-12-31,13560
132,3.0,,6854,,13.0,,1232.0,16.0,,,26.0,663.0,359.0,,4.0,106.0,68.0,,,,884,,,,491.0,,10.0,,,656.0,,610,441.0,10.0,1032.0,8.0,,2015-01-31,13899
133,3.0,,6609,,5.0,,1142.0,14.0,,,25.0,629.0,194.0,,5.0,94.0,61.0,,,,777,,,,476.0,,8.0,,,661.0,,539,393.0,9.0,973.0,9.0,,2015-02-28,13010
134,18.0,,6892,,6.0,,1314.0,15.0,,,29.0,719.0,113.0,,6.0,107.0,65.0,,,,825,,,,525.0,,9.0,,,696.0,,583,429.0,10.0,1080.0,9.0,,2015-03-31,13879
135,25.0,,6669,,1.0,,1317.0,6.0,,,32.0,802.0,66.0,,3.0,158.0,13.0,,,,774,,6.0,,558.0,,8.0,,,720.0,,559,398.0,9.0,1035.0,10.0,,2015-04-30,13632
136,3.0,,6901,,,,1491.0,6.0,,,33.0,954.0,56.0,,2.0,206.0,,,,,691,,1.0,,766.0,,10.0,,,747.0,,574,392.0,12.0,1288.0,10.0,,2015-05-31,14588
