idx,lat,lon,shape
0,89.5,-179.5,"[[-179.0, 89.0], [-179.0, 90.0], [-180.0, 90.0], [-180.0, 89.0], [-179.0, 89.0]]"
1,89.5,-178.5,"[[-178.0, 89.0], [-178.0, 90.0], [-179.0, 90.0], [-179.0, 89.0], [-178.0, 89.0]]"
2,89.5,-177.5,"[[-177.0, 89.0], [-177.0, 90.0], [-178.0, 90.0], [-178.0, 89.0], [-177.0, 89.0]]"
3,89.5,-176.5,"[[-176.0, 89.0], [-176.0, 90.0], [-177.0, 90.0], [-177.0, 89.0], [-176.0, 89.0]]"
4,89.5,-175.5,"[[-175.0, 89.0], [-175.0, 90.0], [-176.0, 90.0], [-176.0, 89.0], [-175.0, 89.0]]"
5,89.5,-174.5,"[[-174.0, 89.0], [-174.0, 90.0], [-175.0, 90.0], [-175.0, 89.0], [-174.0, 89.0]]"
6,89.5,-173.5,"[[-173.0, 89.0], [-173.0, 90.0], [-174.0, 90.0], [-174.0, 89.0], [-173.0, 89.0]]"
7,89.5,-172.5,"[[-172.0, 89.0], [-172.0, 90.0], [-173.0, 90.0], [-173.0, 89.0], [-172.0, 89.0]]"
8,89.5,-171.5,"[[-171.0, 89.0], [-171.0, 90.0], [-172.0, 90.0], [-172.0, 89.0], [-171.0, 89.0]]"
9,89.5,-170.5,"[[-170.0, 89.0], [-170.0, 90.0], [-171.0, 90.0], [-171.0, 89.0], [-170.0, 89.0]]"
10,89.5,-169.5,"[[-169.0, 89.0], [-169.0, 90.0], [-170.0, 90.0], [-170.0, 89.0], [-169.0, 89.0]]"
11,89.5,-168.5,"[[-168.0, 89.0], [-168.0, 90.0], [-169.0, 90.0], [-169.0, 89.0], [-168.0, 89.0]]"
12,89.5,-167.5,"[[-167.0, 89.0], [-167.0, 90.0], [-168.0, 90.0], [-168.0, 89.0], [-167.0, 89.0]]"
13,89.5,-166.5,"[[-166.0, 89.0], [-166.0, 90.0], [-167.0, 90.0], [-167.0, 89.0], [-166.0, 89.0]]"
14,89.5,-165.5,"[[-165.0, 89.0], [-165.0, 90.0], [-166.0, 90.0], [-166.0, 89.0], [-165.0, 89.0]]"
15,89.5,-164.5,"[[-164.0, 89.0], [-164.0, 90.0], [-165.0, 90.0], [-165.0, 89.0], [-164.0, 89.0]]"
16,89.5,-163.5,"[[-163.0, 89.0], [-163.0, 90.0], [-164.0, 90.0], [-164.0, 89.0], [-163.0, 89.0]]"
17,89.5,-162.5,"[[-162.0, 89.0], [-162.0, 90.0], [-163.0, 90.0], [-163.0, 89.0], [-162.0, 89.0]]"
18,89.5,-161.5,"[[-161.0, 89.0], [-161.0, 90.0], [-162.0, 90.0], [-162.0, 89.0], [-161.0, 89.0]]"
19,89.5,-160.5,"[[-160.0, 89.0], [-160.0, 90.0], [-161.0, 90.0], [-161.0, 89.0], [-160.0, 89.0]]"
20,89.5,-159.5,"[[-159.0, 89.0], [-159.0, 90.0], [-160.0, 90.0], [-160.0, 89.0], [-159.0, 89.0]]"
21,89.5,-158.5,"[[-158.0, 89.0], [-158.0, 90.0], [-159.0, 90.0], [-159.0, 89.0], [-158.0, 89.0]]"
22,89.5,-157.5,"[[-157.0, 89.0], [-157.0, 90.0], [-158.0, 90.0], [-158.0, 89.0], [-157.0, 89.0]]"
