,date,nProf
0,2004-01-31,3011
1,2004-02-29,2888
2,2004-03-31,3221
3,2004-04-30,3165
4,2004-05-31,3567
5,2004-06-30,3550
6,2004-07-31,3711
7,2004-08-31,3883
8,2004-09-30,3993
9,2004-10-31,4220
10,2004-11-30,4192
11,2004-12-31,4563
12,2005-01-31,4755
13,2005-02-28,4430
14,2005-03-31,4995
15,2005-04-30,4949
16,2005-05-31,5300
17,2005-06-30,5420
18,2005-07-31,5700
19,2005-08-31,5730
20,2005-09-30,5570
21,2005-10-31,6008
22,2005-11-30,6116
23,2005-12-31,6482
24,2006-01-31,6624
25,2006-02-28,6264
26,2006-03-31,7041
27,2006-04-30,6805
28,2006-05-31,7023
29,2006-06-30,6868
30,2006-07-31,7035
31,2006-08-31,7083
32,2006-09-30,7147
33,2006-10-31,7778
34,2006-11-30,7861
35,2006-12-31,8210
36,2007-01-31,8350
37,2007-02-28,7601
38,2007-03-31,8440
39,2007-04-30,8067
40,2007-05-31,8317
41,2007-06-30,7955
42,2007-07-31,8420
43,2007-08-31,8357
44,2007-09-30,8199
45,2007-10-31,8719
46,2007-11-30,8522
47,2007-12-31,8865
48,2008-01-31,8937
49,2008-02-29,8560
50,2008-03-31,9275
51,2008-04-30,9090
52,2008-05-31,9348
53,2008-06-30,9363
54,2008-07-31,9536
55,2008-08-31,9423
56,2008-09-30,9209
57,2008-10-31,9708
58,2008-11-30,9950
59,2008-12-31,10804
60,2009-01-31,10439
61,2009-02-28,9261
62,2009-03-31,10281
63,2009-04-30,9964
64,2009-05-31,10307
65,2009-06-30,9987
66,2009-07-31,10336
67,2009-08-31,9755
68,2009-09-30,9364
69,2009-10-31,9495
70,2009-11-30,9403
71,2009-12-31,9671
72,2010-01-31,9643
73,2010-02-28,8851
74,2010-03-31,9746
75,2010-04-30,9296
76,2010-05-31,9897
77,2010-06-30,9556
78,2010-07-31,9842
79,2010-08-31,9600
80,2010-09-30,9320
81,2010-10-31,9631
82,2010-11-30,9567
83,2010-12-31,10136
84,2011-01-31,10005
85,2011-02-28,8986
86,2011-03-31,10164
87,2011-04-30,10238
88,2011-05-31,10472
89,2011-06-30,10014
90,2011-07-31,10437
91,2011-08-31,10756
92,2011-09-30,10842
93,2011-10-31,11536
94,2011-11-30,10957
95,2011-12-31,11483
96,2012-01-31,11510
97,2012-02-29,10712
98,2012-03-31,11509
99,2012-04-30,11093
100,2012-05-31,11364
101,2012-06-30,11124
102,2012-07-31,11744
103,2012-08-31,11942
104,2012-09-30,12259
105,2012-10-31,12738
106,2012-11-30,12480
107,2012-12-31,12913
108,2013-01-31,13349
109,2013-02-28,12231
110,2013-03-31,13394
111,2013-04-30,12409
112,2013-05-31,12817
113,2013-06-30,12339
114,2013-07-31,12542
115,2013-08-31,12919
116,2013-09-30,13345
117,2013-10-31,13738
118,2013-11-30,12324
119,2013-12-31,12751
120,2014-01-31,12829
121,2014-02-28,11832
122,2014-03-31,13229
123,2014-04-30,12980
124,2014-05-31,13939
125,2014-06-30,13261
126,2014-07-31,13399
127,2014-08-31,13414
128,2014-09-30,12975
129,2014-10-31,13146
130,2014-11-30,12780
131,2014-12-31,13560
132,2015-01-31,13900
133,2015-02-28,13010
134,2015-03-31,13880
135,2015-04-30,13632
136,2015-05-31,14588
137,2015-06-30,13458
138,2015-07-31,14854
139,2015-08-31,14503
140,2015-09-30,13777
141,2015-10-31,14454
142,2015-11-30,14565
143,2015-12-31,14792
144,2016-01-31,14793
145,2016-02-29,13660
146,2016-03-31,14856
147,2016-04-30,14114
148,2016-05-31,14802
149,2016-06-30,14294
150,2016-07-31,14817
151,2016-08-31,14478
152,2016-09-30,13922
153,2016-10-31,14331
154,2016-11-30,13880
155,2016-12-31,14438
156,2017-01-31,14307
157,2017-02-28,12866
158,2017-03-31,14013
159,2017-04-30,13484
160,2017-05-31,13606
161,2017-06-30,13593
162,2017-07-31,13278
163,2017-08-31,13638
164,2017-09-30,13228
165,2017-10-31,13816
166,2017-11-30,13341
167,2017-12-31,13669
