idx,lat,lon,shape,aggTemp,aggPsal,nProf
4855,76.5,-4.5,"[[-4.0, 76.0], [-4.0, 77.0], [-5.0, 77.0], [-5.0, 76.0], [-4.0, 76.0]]",3.102615361,33.6216156299,13
4857,76.5,-2.5,"[[-2.0, 76.0], [-2.0, 77.0], [-3.0, 77.0], [-3.0, 76.0], [-2.0, 76.0]]",5.094259293,34.3837030199,27
4870,76.5,10.5,"[[11.0, 76.0], [11.0, 77.0], [10.0, 77.0], [10.0, 76.0], [11.0, 76.0]]",6.8192069037,35.0599655283,58
4871,76.5,11.5,"[[12.0, 76.0], [12.0, 77.0], [11.0, 77.0], [11.0, 76.0], [12.0, 76.0]]",6.8116730452,35.0547681955,52
5209,75.5,-10.5,"[[-10.0, 75.0], [-10.0, 76.0], [-11.0, 76.0], [-11.0, 75.0], [-10.0, 75.0]]",3.8644454262,34.1186817169,110
5210,75.5,-9.5,"[[-9.0, 75.0], [-9.0, 76.0], [-10.0, 76.0], [-10.0, 75.0], [-9.0, 75.0]]",4.5641111091,34.2801478351,27
5230,75.5,10.5,"[[11.0, 75.0], [11.0, 76.0], [10.0, 76.0], [10.0, 75.0], [11.0, 75.0]]",6.6445357289,35.0601794379,28
5231,75.5,11.5,"[[12.0, 75.0], [12.0, 76.0], [11.0, 76.0], [11.0, 75.0], [12.0, 75.0]]",6.7106363297,35.0509640087,55
5512,74.5,-67.5,"[[-67.0, 74.0], [-67.0, 75.0], [-68.0, 75.0], [-68.0, 74.0], [-67.0, 74.0]]",-0.6332720015,31.8316399384,50
5569,74.5,-10.5,"[[-10.0, 74.0], [-10.0, 75.0], [-11.0, 75.0], [-11.0, 74.0], [-10.0, 74.0]]",3.1878333489,33.5673364004,6
5570,74.5,-9.5,"[[-9.0, 74.0], [-9.0, 75.0], [-10.0, 75.0], [-10.0, 74.0], [-9.0, 74.0]]",3.5377999783,33.9652458191,5
5571,74.5,-8.5,"[[-8.0, 74.0], [-8.0, 75.0], [-9.0, 75.0], [-9.0, 74.0], [-8.0, 74.0]]",4.0613845678,33.5463077839,13
5579,74.5,-0.5,"[[0.0, 74.0], [0.0, 75.0], [-1.0, 75.0], [-1.0, 74.0], [0.0, 74.0]]",5.9239998545,34.7484294346,7
5586,74.5,6.5,"[[7.0, 74.0], [7.0, 75.0], [6.0, 75.0], [6.0, 74.0], [7.0, 74.0]]",6.5353448144,34.9817920553,29
5926,73.5,-13.5,"[[-13.0, 73.0], [-13.0, 74.0], [-14.0, 74.0], [-14.0, 73.0], [-13.0, 73.0]]",2.2312236773,33.4036834616,76
5929,73.5,-10.5,"[[-10.0, 73.0], [-10.0, 74.0], [-11.0, 74.0], [-11.0, 73.0], [-10.0, 73.0]]",2.8379230683,33.3476924896,26
5930,73.5,-9.5,"[[-9.0, 73.0], [-9.0, 74.0], [-10.0, 74.0], [-10.0, 73.0], [-9.0, 73.0]]",2.4700714179,33.4915365492,28
